League,Date,HomeTeam,AwayTeam,HomeGoals,AwayGoals,Result,TestX
English Premier League,16/08/08,Arsenal,West Brom,1.0,0.0,H,0
English Premier League,16/08/08,Bolton,Stoke,3.0,1.0,H,1
English Premier League,16/08/08,Everton,Blackburn,2.0,3.0,A,2
English Premier League,16/08/08,Hull,Fulham,2.0,1.0,H,3
English Premier League,16/08/08,Middlesbrough,Tottenham,2.0,1.0,H,4
English Premier League,16/08/08,Sunderland,Liverpool,0.0,1.0,A,5
English Premier League,16/08/08,West Ham,Wigan,2.0,1.0,H,6
English Premier League,17/08/08,Aston Villa,Man City,4.0,2.0,H,7
English Premier League,17/08/08,Chelsea,Portsmouth,4.0,0.0,H,8
English Premier League,17/08/08,Man United,Newcastle,1.0,1.0,D,9
English Premier League,23/08/08,Blackburn,Hull,1.0,1.0,D,10
English Premier League,23/08/08,Fulham,Arsenal,1.0,0.0,H,11
English Premier League,23/08/08,Liverpool,Middlesbrough,2.0,1.0,H,12
English Premier League,23/08/08,Newcastle,Bolton,1.0,0.0,H,13
English Premier League,23/08/08,Stoke,Aston Villa,3.0,2.0,H,14
English Premier League,23/08/08,Tottenham,Sunderland,1.0,2.0,A,15
English Premier League,23/08/08,West Brom,Everton,1.0,2.0,A,16
English Premier League,24/08/08,Man City,West Ham,3.0,0.0,H,17
English Premier League,24/08/08,Wigan,Chelsea,0.0,1.0,A,18
English Premier League,25/08/08,Portsmouth,Man United,0.0,1.0,A,19
English Premier League,30/08/08,Arsenal,Newcastle,3.0,0.0,H,20
English Premier League,30/08/08,Bolton,West Brom,0.0,0.0,D,21
English Premier League,30/08/08,Everton,Portsmouth,0.0,3.0,A,22
English Premier League,30/08/08,Hull,Wigan,0.0,5.0,A,23
English Premier League,30/08/08,Middlesbrough,Stoke,2.0,1.0,H,24
English Premier League,30/08/08,West Ham,Blackburn,4.0,1.0,H,25
English Premier League,31/08/08,Aston Villa,Liverpool,0.0,0.0,D,26
English Premier League,31/08/08,Chelsea,Tottenham,1.0,1.0,D,27
English Premier League,31/08/08,Sunderland,Man City,0.0,3.0,A,28
English Premier League,13/09/08,Blackburn,Arsenal,0.0,4.0,A,29
English Premier League,13/09/08,Fulham,Bolton,2.0,1.0,H,30
English Premier League,13/09/08,Liverpool,Man United,2.0,1.0,H,31
English Premier League,13/09/08,Man City,Chelsea,1.0,3.0,A,32
English Premier League,13/09/08,Newcastle,Hull,1.0,2.0,A,33
English Premier League,13/09/08,Portsmouth,Middlesbrough,2.0,1.0,H,34
English Premier League,13/09/08,West Brom,West Ham,3.0,2.0,H,35
English Premier League,13/09/08,Wigan,Sunderland,1.0,1.0,D,36
English Premier League,14/09/08,Stoke,Everton,2.0,3.0,A,37
English Premier League,15/09/08,Tottenham,Aston Villa,1.0,2.0,A,38
English Premier League,20/09/08,Blackburn,Fulham,1.0,0.0,H,39
English Premier League,20/09/08,Bolton,Arsenal,1.0,3.0,A,40
English Premier League,20/09/08,Liverpool,Stoke,0.0,0.0,D,41
English Premier League,20/09/08,Sunderland,Middlesbrough,2.0,0.0,H,42
English Premier League,20/09/08,West Ham,Newcastle,3.0,1.0,H,43
English Premier League,21/09/08,Chelsea,Man United,1.0,1.0,D,44
English Premier League,21/09/08,Hull,Everton,2.0,2.0,D,45
English Premier League,21/09/08,Man City,Portsmouth,6.0,0.0,H,46
English Premier League,21/09/08,Tottenham,Wigan,0.0,0.0,D,47
English Premier League,21/09/08,West Brom,Aston Villa,1.0,2.0,A,48
English Premier League,27/09/08,Arsenal,Hull,1.0,2.0,A,49
English Premier League,27/09/08,Aston Villa,Sunderland,2.0,1.0,H,50
English Premier League,27/09/08,Everton,Liverpool,0.0,2.0,A,51
English Premier League,27/09/08,Fulham,West Ham,1.0,2.0,A,52
English Premier League,27/09/08,Man United,Bolton,2.0,0.0,H,53
English Premier League,27/09/08,Middlesbrough,West Brom,0.0,1.0,A,54
English Premier League,27/09/08,Newcastle,Blackburn,1.0,2.0,A,55
English Premier League,27/09/08,Stoke,Chelsea,0.0,2.0,A,56
